Experiment;Model;Simulation;S;B;L;T;Graph Seed;Dynamics Seed;Steps;q;Time to Fixation;Jazz;Stuff
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;0.01;992;466;2000;3.17764371615651E-16;719;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;0.01;992;466;2000;5.02429586778808E-16;643;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;0.01;992;466;2000;5.85312755452999E-16;744;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;0.01;992;466;2000;4.35116785763366E-16;563;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;0.01;56;870;2000;2.2469334198890885e-16;436;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;0.01;56;870;2000;2.785162873993778e-16;556;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;0.01;56;870;2000;4.663691896029754e-16;581;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;0.01;56;870;2000;3.011959563148489e-16;621;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;1.0075;56;870;2000;0.36627073666733073;650;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;1.0075;56;870;2000;0.6303417919729626;486;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;1.0075;56;870;2000;0.6614628712907967;560;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;1.0075;56;870;2000;0.7284740242157706;512;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;2.005;56;870;2000;0.8771895184321148;485;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;2.005;56;870;2000;1.0077636141711097;495;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;2.005;56;870;2000;1.084505278995346;605;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;2.005;56;870;2000;1.1946090711557804;684;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;3.0025;56;870;2000;0.7730671461781311;1071;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;3.0025;56;870;2000;1.0111816057907614;570;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;3.0025;56;870;2000;1.2662810007016307;558;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;3.0025;56;870;2000;1.5192487527657061;681;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;4.0;56;870;2000;1.0375429312570101;930;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;4.0;56;870;2000;1.112668283173641;825;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;4.0;56;870;2000;1.4645987216700103;793;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;4.0;56;870;2000;1.9866374373766589;993;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;0.01;99;27;2000;0.0;579;Slow;Fast
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;1.0075;99;27;2000;0.18708286933869708;642;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;2.005;99;27;2000;0.2645751311064591;579;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;3.0025;99;27;2000;0.18027756377319948;555;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;4.0;99;27;2000;0.38890872965260115;548;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;0.01;326;288;2000;0.0;677;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;0.45333333333333337;326;288;2000;0.0816496580927726;670;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;0.8966666666666667;326;288;2000;0.09519716382329885;711;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;1.34;326;288;2000;0.17320508075688773;679;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;1.7833333333333334;326;288;2000;0.2669269563007828;703;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;2.2266666666666666;326;288;2000;0.3;686;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;2.67;326;288;2000;0.37416573867739417;671;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;3.1133333333333333;326;288;2000;0.406201920231798;601;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;3.5566666666666666;326;288;2000;0.4527692569068708;673;Slow;Fast
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;100;4.0;326;288;2000;0.18708286933869708;581;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;0.01;326;288;2000;0.0;469;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;0.45333333333333337;326;288;2000;0.17740917207663634;551;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;0.8966666666666667;326;288;2000;0.31211643126670957;572;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;1.34;326;288;2000;0.41653331199317056;588;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;1.7833333333333334;326;288;2000;0.578777250404181;672;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;2.2266666666666666;326;288;2000;0.6116765061273386;647;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;2.67;326;288;2000;0.7335929087529196;1175;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;3.1133333333333333;326;288;2000;0.6043203827441203;799;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;3.5566666666666666;326;288;2000;1.1363626817566859;907;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;125;4.0;326;288;2000;0.7216349107716757;550;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;0.01;326;288;2000;5.17892563931115e-16;447;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;0.45333333333333337;326;288;2000;0.24478022123802812;611;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;0.8966666666666667;326;288;2000;0.48164004244556785;527;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;1.34;326;288;2000;0.692348341202493;754;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;1.7833333333333334;326;288;2000;0.7905063041403425;627;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;2.2266666666666666;326;288;2000;0.7946593451248395;600;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;2.67;326;288;2000;1.0013957366600224;902;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;3.1133333333333333;326;288;2000;1.0074197042702338;795;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;3.5566666666666666;326;288;2000;1.6486480620170745;793;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;150;4.0;326;288;2000;1.1049147818364367;521;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;0.01;326;288;2000;5.001815684030073e-16;509;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;0.45333333333333337;326;288;2000;0.23596864206466325;488;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;0.8966666666666667;326;288;2000;0.6016755643252528;575;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;1.34;326;288;2000;0.7753539604350873;668;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;1.7833333333333334;326;288;2000;0.8207406202047232;649;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;2.2266666666666666;326;288;2000;1.0021136298465867;684;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;2.67;326;288;2000;1.3559107350601298;987;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;3.1133333333333333;326;288;2000;1.28150938407633;799;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;3.5566666666666666;326;288;2000;1.6075256796575443;1073;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;175;4.0;326;288;2000;1.9309161804741681;1535;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;0.01;326;288;2000;5.65233285126159e-16;471;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;0.45333333333333337;326;288;2000;0.2546721792585126;556;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;0.8966666666666667;326;288;2000;0.6376763760169815;849;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;1.34;326;288;2000;0.7564574705734675;611;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;1.7833333333333334;326;288;2000;0.8720665614652189;593;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;2.2266666666666666;326;288;2000;1.2560119784588117;656;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;2.67;326;288;2000;1.4228444256553359;775;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;3.1133333333333333;326;288;2000;1.3088076936954696;847;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;3.5566666666666666;326;288;2000;1.563854476352816;865;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;200;4.0;326;288;2000;1.8241832237629225;1462;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;225;0.01;326;288;2000;7.297505690518439e-16;672;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;225;0.45333333333333337;326;288;2000;0.2838647439982489;546;Slow;Slow
Time to Fixation;PPM2017v1;Majority Rule Random;100;5;225;0.8966666666666667;326;288;2000;0.7487395596467282;621;Slow;Slow
